Frequency [MHz],Redshift,Age [Myr],H1: Weight,H1: T21 [K],H2: Weight,H2: T21 [K],H3: Weight,H3: T21 [K],H4: Weight,H4: T21 [K],H5: Weight,H5: T21 [K],H6: Weight,H6: T21 [K],P8: Weight,P8: T21 [K]
84.387207,15.827195,251.525665,1,-0.374402,1,-0.49679,1,-0.524345,1,-0.440446,1,-0.412683,1,-0.464372,1,-0.482901
84.777832,15.749662,253.273861,1,-0.358271,1,-0.479449,1,-0.513623,1,-0.447374,1,-0.370809,1,-0.440389,1,-0.463061
85.168457,15.672839,255.026082,1,-0.345531,1,-0.457353,1,-0.496096,1,-0.406166,1,-0.371723,1,-0.457484,1,-0.435904
85.559082,15.596719,256.782321,1,-0.334274,1,-0.429242,1,-0.474413,1,-0.371309,1,-0.335232,1,-0.469437,1,-0.415078
85.949707,15.52129,258.542567,1,-0.316608,1,-0.419979,1,-0.418173,1,-0.379081,1,-0.280438,1,-0.418813,1,-0.402489
86.340332,15.446543,260.306812,1,-0.292026,1,-0.390484,1,-0.41148,1,-0.350135,1,-0.255394,1,-0.448108,1,-0.386412
86.730957,15.37247,262.075047,1,-0.26937,1,-0.356349,1,-0.356918,1,-0.337152,1,-0.257316,1,-0.45281,1,-0.348719
87.121582,15.299061,263.847262,1,-0.249603,1,-0.321948,1,-0.325473,1,-0.338832,1,-0.225214,1,-0.418772,1,-0.323528
87.512207,15.226308,265.623448,1,-0.191154,1,-0.263018,1,-0.279219,1,-0.265825,1,-0.178746,1,-0.347864,1,-0.274781
87.902832,15.154201,267.403596,1,-0.15349,1,-0.218296,1,-0.249629,1,-0.220737,1,-0.137472,1,-0.312198,1,-0.218889
88.293457,15.082732,269.187698,1,-0.142101,1,-0.189786,1,-0.22058,1,-0.185669,1,-0.093781,1,-0.267471,1,-0.187455
88.684082,15.011893,270.975744,1,-0.136603,1,-0.177123,1,-0.237245,1,-0.166504,1,-0.05023,1,-0.245974,1,-0.167347
89.074707,14.941675,272.767726,1,-0.119295,1,-0.153301,1,-0.170153,1,-0.167048,1,-0.046354,1,-0.232669,1,-0.14568
89.465332,14.87207,274.563635,1,-0.07579,1,-0.115633,1,-0.120624,1,-0.146109,1,-0.030986,1,-0.221286,1,-0.116573
89.855957,14.80307,276.363463,1,-0.083857,1,-0.108339,1,-0.117413,1,-0.121636,1,-0.041722,1,-0.202148,1,-0.108873
90.246582,14.734668,278.1672,1,-0.060737,1,-0.105116,1,-0.116116,1,-0.101314,1,-0.033345,1,-0.178721,1,-0.116111
90.637207,14.666855,279.974838,1,-0.046216,1,-0.070449,1,-0.080671,1,-0.060157,1,-0.014189,1,-0.131871,1,-0.076063
91.027832,14.599625,281.786369,1,-0.030566,1,-0.043358,1,-0.062746,1,-0.030277,1,0.035157,1,-0.122143,1,-0.037803
91.418457,14.532968,283.601784,1,-0.024057,1,-0.033698,1,-0.081321,1,-0.036176,1,-0.014209,1,-0.155885,1,-0.023326
91.809082,14.466879,285.421075,1,0.002939,1,-0.01642,1,-0.032732,1,-0.024058,1,-0.045241,1,-0.078474,1,-0.025763
92.199707,14.40135,287.244233,1,-0.039385,1,-0.026676,1,-0.043926,1,-0.018085,1,-0.045384,1,-0.055917,1,-0.037094
92.590332,14.336374,289.07125,1,-0.021307,1,-0.041935,1,-0.051347,1,-0.019051,1,-0.020537,1,-0.078023,1,-0.047161
92.980957,14.271944,290.902118,1,-0.000776,1,-0.058281,1,-0.007436,1,-0.014318,1,0.005247,1,-0.080897,1,-0.063961
93.371582,14.208053,292.736829,1,-0.000126,1,-0.021805,1,-0.018494,1,0.002806,1,0.045691,1,-0.091476,1,-0.025044
93.762207,14.144695,294.575374,1,0.006741,1,0.010698,1,0.006234,1,-0.00537,1,0.038851,1,-0.076219,1,0.008006
94.152832,14.081862,296.417746,1,0.024879,1,0.008475,1,0.043556,1,0.036309,1,-0.006716,1,-0.013935,1,0.006752
94.543457,14.019548,298.263936,1,0.010541,1,0.002849,1,0.01637,1,0.024249,1,-0.019686,1,-0.049776,1,0.015682
94.934082,13.957747,300.113936,1,0.049964,1,0.03513,1,0.05022,1,0.029565,1,0.023109,1,-0.016312,1,0.053793
95.324707,13.896453,301.967738,1,0.015626,1,0.003289,1,0.012876,1,0.009449,1,0.012095,1,-0.000297,1,0.013026
95.715332,13.835659,303.825335,1,0.003801,1,-0.007387,1,-0.020917,1,0.012417,1,-0.00163,1,0.027622,1,-0.007435
96.105957,13.775359,305.686719,1,0.038222,1,0.049504,1,-0.028376,1,0.01944,1,0.05685,1,-0.001068,1,0.055291
96.496582,13.715547,307.551881,0,0.059167,1,0.015608,0,0.159692,1,0.006934,1,0.03937,1,0.006587,1,0.017274
96.887207,13.656218,309.420814,1,-0.011403,1,0.023339,1,0.02847,1,0.008948,1,0.036166,1,0.078407,1,0.01642
97.277832,13.597365,311.293511,1,-0.031931,1,-0.011676,1,-0.012716,1,-0.024965,1,-0.053725,1,0.031347,1,-0.010637
97.668457,13.538983,313.169963,1,-0.036059,1,-0.036904,1,-0.014875,1,-0.05332,1,-0.060929,1,-0.008182,1,-0.02589
98.059082,13.481066,315.050163,1,0.018393,1,0.004322,1,0.013156,1,0.002016,1,-0.009484,1,0.026208,1,0.006636
98.449707,13.423608,316.934103,1,-0.022921,1,0.012686,1,0.008131,1,0.002416,1,0.047994,1,0.048379,1,0.018816
98.840332,13.366605,318.821776,1,-0.011356,1,-0.044846,1,-0.013968,1,-0.033046,1,-0.080591,1,-0.156673,1,-0.033625
99.230957,13.31005,320.713175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.621582,13.253939,322.608291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
